Suburb,Median Income
Briar Hill,1604.0
Bundoora,1363.0
Eaglemont,2352.0
Greensborough,1634.0
Heidelberg,1735.0
Heidelberg Heights,1396.0
Heidelberg West Bellfield,1009.0
Ivanhoe,1910.0
Ivanhoe East,2471.0
Lower Plenty,1810.0
Macleod,1569.0
Montmorency,1730.0
Rosanna,1709.0
St Helena Eltham North,2151.0
Viewbank,1743.0
Watsonia,1456.0
Watsonia North,1692.0
Yallambie,1899.0
East Precinct,1839.0
Mid Precinct,1663.0
North East Precinct,1822.0
North West Precinct,1439.0
North Precinct,1636.0
South Precinct,2086.0
West Precinct,1188.0
Bendigo,1106.0
Eaglehawk Eaglehawk North Sailors Gully,944.0
East Bendigo,1056.0
Elmore Rural North,1141.0
Epsom Ascot,1454.0
Flora Hill Quarry Hill Spring Gully Golden Gully,1177.0
Golden Square,1116.0
Heathcote and District,815.0
Huntly,1488.0
Kangaroo Flat Big Hill,1014.0
Kennington,1098.0
Long Gully West Bendigo Ironbark,919.0
Maiden Gully,1829.0
Marong Rural West,1458.0
North Bendigo California Gully,957.0
Rural East,1691.0
Strathdale,1227.0
Strathfieldsaye,1871.0
White Hills Jackass Flat,1176.0
Urban Bendigo,1158.0
Rural Bendigo,1297.0
"Study Area Kamarooka, Hunter and Drummartin",1259.0
City of Greater Bendigo,1182.0
Regional VIC,1124.0
Ashburton,2192.0
Balwyn,1730.0
Balwyn North,2015.0
Camberwell,2230.0
Canterbury,2366.0
Deepdene,1913.0
Glen Iris,2482.0
Hawthorn,1818.0
Hawthorn East,1954.0
Kew,2214.0
Kew East,2134.0
Surrey Hills,2311.0
Bellevue Ward,2108.0
Cotham Ward,2127.0
Gardiner Ward,2430.0
Glenferrie Ward,1792.0
Junction Ward,1908.0
Lynden Ward,2283.0
Maling Ward,2267.0
Maranoa Ward,1826.0
Riversdale Ward,1928.0
Solway Ward,2291.0
Studley Ward,2141.0
Alfredton,1523.0
Ballarat Central Bakery Hill Lake Wendouree ,1312.0
Ballarat East Eureka Warrenheip,990.0
Ballarat North Invermay Park,1209.0
Buninyong Rural South,1597.0
Cardigan Village Bunkers Hill,1566.0
Delacombe,1242.0
Golden Point Mount Pleasant Canadian,1121.0
Lake Wendouree ,1384.0
Lucas Cardigan,1927.0
Miners Rest Mitchell Park,1517.0
Mount Clear Mount Helen,1432.0
Rural East,1901.0
Rural West,1062.0
Sebastopol Redan,832.0
Soldiers Hill Black Hill Nerrina ,1202.0
Wendouree,825.0
City of Ballarat,1158.0
Abbotsford,2019.0
Central Richmond,2206.0
Clifton Hill,2230.0
Collingwood,1696.0
Cremorne and Burnley Richmond South,2380.0
Fairfield Alphington,2047.0
Fitzroy,1732.0
Fitzroy North,1913.0
Carlton North Princes Hill,1991.0
North Richmond,1645.0
Amcor Study Area,2093.0
Swan Street Structure Plan,2281.0
Johnston Street Structure Plan,1437.0
City of Yarra,1949.0
Colac Central,871.0
Colac East,1038.0
Colac West,1002.0
Elliminyt,1476.0
Great Ocean Road Otways,927.0
Rural North,1181.0
Rural South,1090.0
Colac Elliminyt,1053.0
Colac Otway Shire,1056.0
Regional VIC,1124.0
Alphington,2224.0
Bundoora Macleod,1593.0
Fairfield,1670.0
Kingsbury,1127.0
Northcote ,1843.0
Northcote ,1938.0
Preston ,1332.0
Preston ,1500.0
Reservoir ,1159.0
Reservoir ,1331.0
Reservoir ,1127.0
Reservoir ,1083.0
Thornbury ,1474.0
Thornbury ,1641.0
Fairfield Alphington,1818.0
Kingsbury Bundoora,1360.0
Northcote,1879.0
Preston,1416.0
Reservoir,1180.0
Thornbury,1546.0
Northcote Activity Area,1876.0
Northland Activity Area,937.0
Preston Activity Area,1342.0
Reservoir Activity Area,1204.0
City of Darebin,1420.0
Bairnsdale,998.0
Bruthen,1002.0
Buchan,720.0
Cann River,756.0
Lakes Entrance,860.0
Lindenow,1237.0
Mallacoota,771.0
Metung,1013.0
Omeo Swifts Creek,927.0
Orbost,760.0
Paynesville,894.0
Twin Rivers,1027.0
Bairnsdale urban area ,965.0
Lakes Entrance ,790.0
Orbost ,709.0
East Gippsland Shire,938.0
City of Knox,1558.0
City of Manningham,1637.0
City of Maroondah,1541.0
City of Monash,1508.0
City of Whitehorse,1502.0
Yarra Ranges Council area,1497.0
Carrum Downs,1334.0
Frankston Central,955.0
Frankston Heights,1221.0
Frankston North,884.0
Frankston South,1611.0
Karingal,1124.0
Langwarrin,1576.0
Langwarrin South,2087.0
Sandhurst,2326.0
Seaford,1208.0
Skye,1658.0
Carrum Downs Skye Sandhurst ,1506.0
Frankston Central Frankston Heights ,1095.0
Frankston North ,887.0
Frankston South ,1611.0
Karingal ,1124.0
Langwarrin Langwarrin South ,1596.0
Seaford ,1208.0
Frankston Metropolitan Activity Centre,819.0
Frankston City,1327.0
Armstrong Creek Mount Duneed,1924.0
Barwon Heads Connewarre Breamlea,1747.0
Bell Park,1028.0
Bell Post Hill,1076.0
Belmont,1143.0
Clifton Springs,1127.0
Corio,913.0
Curlewis,1548.0
Drysdale Bellarine,1133.0
East Geelong,1437.0
Geelong,1455.0
Geelong West Manifold Heights,1384.0
Grovedale,1221.0
Hamlyn Heights,1232.0
Herne Hill Fyansford,1084.0
Highton Wandana Heights,1663.0
Lara,1559.0
Leopold,1353.0
Lovely Banks Batesford Moorabool,1489.0
Marshall Charlemont,1109.0
Newcomb Moolap,942.0
Newtown,1677.0
Norlane North Shore,737.0
North Geelong Rippleside,1187.0
Ocean Grove,1432.0
Portarlington,897.0
Rural Bellarine Peninsula,1493.0
Rural North,1389.0
South Geelong Thomson Breakwater,989.0
St Albans Park,1123.0
St Leonards Indented Head,903.0
Waurn Ponds Ceres,1901.0
Whittington,797.0
Central Geelong,1368.0
City of Greater Geelong,1242.0
Greater Melbourne,1539.0
Bairnsdale,998.0
Bruthen,1002.0
Buchan,720.0
Cann River,756.0
Lakes Entrance,860.0
Lindenow,1237.0
Mallacoota,771.0
Metung,1013.0
Omeo Swifts Creek,927.0
Orbost,760.0
Paynesville,894.0
Twin Rivers,1027.0
Bairnsdale urban area ,965.0
Lakes Entrance ,790.0
Orbost ,709.0
East Gippsland Shire,938.0
Bentleigh,1773.0
Bentleigh East,1727.0
Carnegie,1481.0
Caulfield,1785.0
Caulfield North Caulfield East,1944.0
Caulfield South,1981.0
Elsternwick Gardenvale,1868.0
Glen Huntly,1541.0
McKinnon,2009.0
Murrumbeena,1628.0
Ormond,1567.0
St Kilda East,1899.0
Camden Ward,1908.0
Rosstown Ward,1595.0
Tucker Ward,1756.0
Coleraine Rural West,931.0
Hamilton ,1043.0
Hamilton ,991.0
Hamilton ,1012.0
Rural East,1149.0
Rural North,1059.0
Hamilton ,1011.0
Southern Grampians Shire,1041.0
Regional VIC,1124.0
Great South Coast,1102.0
Colac Otway Shire,1056.0
Corangamite Shire,1042.0
Glenelg Shire,1045.0
Altona Seaholme,1451.0
Altona Meadows,1381.0
Altona North,1236.0
Brooklyn,1430.0
Laverton,1202.0
Newport East,2386.0
Newport West,2081.0
Seabrook,1650.0
Spotswood South Kingsville,1840.0
Williamstown,1966.0
Williamstown North The Rifle Range,2055.0
Newport,2172.0
Hobsons Bay City,1564.0
Airport Rural,1849.0
Attwood,1880.0
Broadmeadows,902.0
Campbellfield Somerton,933.0
Coolaroo,899.0
Craigieburn,1501.0
Dallas,922.0
Gladstone Park,1254.0
Greenvale,2027.0
Jacana,1028.0
Meadow Heights,1047.0
Roxburgh Park,1357.0
Sunbury,1572.0
Tullamarine,1182.0
Westmeadows,1370.0
Aspendale,1911.0
Aspendale Gardens,1947.0
Bonbeach,1430.0
Carrum,1372.0
Chelsea,1318.0
Chelsea Heights,1534.0
Cheltenham,1475.0
Clarinda,1374.0
Clayton South,1255.0
Dingley Village,1584.0
Edithvale,1627.0
Heatherton,1857.0
Highett,1486.0
Mentone Moorabbin Airport,1497.0
Moorabbin,1518.0
Mordialloc Braeside,1673.0
Oakleigh South,1430.0
Parkdale,1719.0
Patterson Lakes,1656.0
Waterways,2433.0
Aspendale Aspendale Gardens Edithvale Planning area,1880.0
Chelsea Chelsea Heights Bonbeach Planning area,1406.0
Cheltenham Planning area,1475.0
Clarinda Oakleigh South Planning area,1395.0
Clayton South Planning area,1255.0
Dingley Village Heatherton Planning area,1642.0
Mentone Parkdale Planning area,1553.0
Moorabbin Highett Planning area,1503.0
Mordialloc Planning area,1723.0
Patterson Lakes Carrum Planning area,1538.0
Chelsea Activity Centre,1352.0
Cheltenham Activity Centre,1579.0
Clayton South Westall Activity Centre,1273.0
Highett Activity Centre,1370.0
Mentone East Activity Centre,1410.0
Mentone West Activity Centre,1367.0
