School Name,School Type,Address,Postcode,Phone #,LGA Name
Alberton Primary School,Primary,21 Thomson Street,3971,03 5183 2412,Wellington (S)
Allansford and District Primary School,Primary,Frank Street,3277,03 5565 1382,Warrnambool (C)
Avoca Primary School,Primary,118 Barnett Street,3467,03 5465 3176,Pyrenees (S)
Avenel Primary School,Primary,40 Anderson Street,3664,03 5796 2264,Strathbogie (S)
Warrandyte Primary School,Primary,5-11 Forbes Street,3113,03 9844 3537,Manningham (C)
Belmont Primary School,Primary,51 Mt Pleasant Road,3216,03 5243 2972,Greater Geelong (C)
Bacchus Marsh Primary School,Primary,56-62 Lerderderg Street,3340,03 5367 2745,Moorabool (S)
Ballarat Primary School (Dana Street),Primary,401 Dana Street,3350,03 5332 1301,Ballarat (C)
Wodonga Primary School,Primary,Brockley Street,3690,02 6048 0300,Wodonga (C)
Berwick Primary School,Primary,37 Fairholme Boulevard,3806,03 9707 1026,Casey (C)
Beaufort Primary School,Primary,2/37 Park Road,3373,03 5349 2490,Pyrenees (S)
Cheltenham Primary School,Primary,231 Charman Road,3192,03 8585 3200,Bayside (C)
Cudgee Primary School,Primary,3 Hallowells Road,3265,03 5567 6346,Moyne (S)
Newport Lakes Primary School,Primary,Elizabeth Street,3015,03 9391 8942,Hobsons Bay (C)
Cavendish Primary School,Primary,8-10 Barker Street,3314,03 5574 2282,Southern Grampians (S)
Colac Primary School,Primary,53-65 Murray Street East,3250,03 5231 2560,Colac-Otway (S)
Castlemaine Primary School,Primary,Cnr Mostyn & Urquhart Street,3450,03 5472 1452,Mount Alexander (S)
Campbells Creek Primary School,Primary,Main Road,3451,03 5472 2180,Mount Alexander (S)
Creswick Primary School,Primary,67 Napier Street,3363,03 5345 2044,Hepburn (S)
California Gully Primary School,Primary,4-14 Staley Street,3556,03 5446 8393,Greater Bendigo (C)
St Andrews Primary School,Primary,Caledonia Street,3761,03 9710 1255,Nillumbik (S)
Warrnambool West Primary School,Primary,35 Hoddle Street,3280,03 5561 3161,Warrnambool (C)
Dromana Primary School,Primary,Mcculloch Street,3936,03 5987 2367,Mornington Peninsula (S)
Doncaster Primary School,Primary,2 - 12 Council Street,3108,03 9848 1122,Manningham (C)
Echuca Primary School,Primary,413-431 High Street,3564,03 5483 0700,Campaspe (S)
Eltham Primary School,Primary,Dalton Street,3095,03 9439 9374,Nillumbik (S)
