MEASURE,Measure,REGIONTYPE,Geography Level,ASGS_2016,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2001,2001,20661,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2002,2002,20906,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2003,2003,21015,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2004,2004,21147,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2005,2005,21384,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2006,2006,21655,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2007,2007,22144,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2008,2008,22641,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2009,2009,23110,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2010,2010,23546,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2011,2011,23987,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2012,2012,24656,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2013,2013,25384,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2014,2014,26155,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2015,2015,26799,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2016,2016,27435,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2017,2017,28220,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2018,2018,29186,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2019,2019,29993,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011106,Brunswick East,A,Annual,2001,2001,7263,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011106,Brunswick East,A,Annual,2002,2002,7304,,
