MEASURE,Measure,REGIONTYPE,Geography Level,ASGS_2016,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,206,Melbourne - Inner,A,Annual,2019,2019,701634,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20601,Brunswick - Coburg,A,Annual,2019,2019,99584,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011105,Brunswick,A,Annual,2019,2019,29993,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011106,Brunswick East,A,Annual,2019,2019,13765,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011107,Brunswick West,A,Annual,2019,2019,15543,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011108,Coburg,A,Annual,2019,2019,29202,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206011109,Pascoe Vale South,A,Annual,2019,2019,11081,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20602,Darebin - South,A,Annual,2019,2019,58302,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206021110,Alphington - Fairfield,A,Annual,2019,2019,10008,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206021111,Northcote,A,Annual,2019,2019,27913,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206021112,Thornbury,A,Annual,2019,2019,20381,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20603,Essendon,A,Annual,2019,2019,74831,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206031113,Ascot Vale,A,Annual,2019,2019,16508,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206031114,Essendon - Aberfeldie,A,Annual,2019,2019,30927,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206031115,Flemington,A,Annual,2019,2019,11345,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206031116,Moonee Ponds,A,Annual,2019,2019,16051,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20604,Melbourne City,A,Annual,2019,2019,179021,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041117,Carlton,A,Annual,2019,2019,24692,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041118,Docklands,A,Annual,2019,2019,15701,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041119,East Melbourne,A,Annual,2019,2019,5918,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041120,Flemington Racecourse,A,Annual,2019,2019,91,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041121,Kensington (Vic.),A,Annual,2019,2019,12173,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041122,Melbourne,A,Annual,2019,2019,51894,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041123,North Melbourne,A,Annual,2019,2019,26459,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041124,Parkville,A,Annual,2019,2019,8756,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041125,South Yarra - West,A,Annual,2019,2019,7010,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041126,Southbank,A,Annual,2019,2019,26324,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206041127,West Melbourne,A,Annual,2019,2019,3,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20605,Port Phillip,A,Annual,2019,2019,115586,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051128,Albert Park,A,Annual,2019,2019,17806,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051129,Elwood,A,Annual,2019,2019,16754,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051130,Port Melbourne,A,Annual,2019,2019,18049,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051131,Port Melbourne Industrial,A,Annual,2019,2019,438,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051132,South Melbourne,A,Annual,2019,2019,13509,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051133,St Kilda,A,Annual,2019,2019,30447,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206051134,St Kilda East,A,Annual,2019,2019,18583,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20606,Stonnington - West,A,Annual,2019,2019,72057,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206061135,Armadale,A,Annual,2019,2019,10501,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206061136,Prahran - Windsor,A,Annual,2019,2019,22234,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206061137,South Yarra - East,A,Annual,2019,2019,25051,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206061138,Toorak,A,Annual,2019,2019,14271,,
ERP,Estimated Resident Population,SA3,Statistical Area Level 3,20607,Yarra,A,Annual,2019,2019,102253,,
ERP,Estimated Resident Population,SA2,Statistical Area Level 2,206071139,Abbotsford,A,Annual,2019,2019,10088,,
