Sex,Age,Region,Value
Males,0 - 4,Brunswick,610
Females,0 - 4,Brunswick,535
Males,0 - 4,Brunswick East,252
Females,0 - 4,Brunswick East,214
Males,0 - 4,Brunswick West,388
Females,0 - 4,Brunswick West,369
Males,0 - 4,Coburg,802
Females,0 - 4,Coburg,851
Males,0 - 4,Pascoe Vale South,317
Females,0 - 4,Pascoe Vale South,338
Males,0 - 4,Alphington - Fairfield,229
Females,0 - 4,Alphington - Fairfield,240
Males,0 - 4,Northcote,719
Females,0 - 4,Northcote,659
Males,0 - 4,Thornbury,575
Females,0 - 4,Thornbury,552
Males,0 - 4,Ascot Vale,566
Females,0 - 4,Ascot Vale,497
Males,0 - 4,Essendon - Aberfeldie,671
Females,0 - 4,Essendon - Aberfeldie,649
Males,0 - 4,Flemington,303
Females,0 - 4,Flemington,312
Males,0 - 4,Moonee Ponds,416
Females,0 - 4,Moonee Ponds,379
Males,0 - 4,Carlton,225
Females,0 - 4,Carlton,217
Males,0 - 4,Docklands,286
Females,0 - 4,Docklands,274
Males,0 - 4,East Melbourne,75
Females,0 - 4,East Melbourne,81
Males,0 - 4,Flemington Racecourse,5
Females,0 - 4,Flemington Racecourse,3
Males,0 - 4,Kensington (Vic.),367
Females,0 - 4,Kensington (Vic.),370
Males,0 - 4,Melbourne,362
Females,0 - 4,Melbourne,365
Males,0 - 4,North Melbourne,383
Females,0 - 4,North Melbourne,388
Males,0 - 4,Parkville,111
Females,0 - 4,Parkville,111
Males,0 - 4,South Yarra - West,93
Females,0 - 4,South Yarra - West,98
Males,0 - 4,Southbank,276
Females,0 - 4,Southbank,301
Males,0 - 4,West Melbourne,0
Females,0 - 4,West Melbourne,0
Males,0 - 4,Albert Park,395
Females,0 - 4,Albert Park,379
Males,0 - 4,Elwood,435
Females,0 - 4,Elwood,399
Males,0 - 4,Port Melbourne,477
Females,0 - 4,Port Melbourne,485
Males,0 - 4,Port Melbourne Industrial,4
Females,0 - 4,Port Melbourne Industrial,0
Males,0 - 4,South Melbourne,300
Females,0 - 4,South Melbourne,284
Males,0 - 4,St Kilda,394
Females,0 - 4,St Kilda,441
Males,0 - 4,St Kilda East,471
Females,0 - 4,St Kilda East,441
Males,0 - 4,Armadale,231
Females,0 - 4,Armadale,221
Males,0 - 4,Prahran - Windsor,386
Females,0 - 4,Prahran - Windsor,371
Males,0 - 4,South Yarra - East,335
Females,0 - 4,South Yarra - East,325
Males,0 - 4,Toorak,200
Females,0 - 4,Toorak,204
Males,0 - 4,Abbotsford,163
Females,0 - 4,Abbotsford,157
Males,0 - 4,Carlton North - Princes Hill,208
Females,0 - 4,Carlton North - Princes Hill,174
Males,0 - 4,Collingwood,207
Females,0 - 4,Collingwood,223
Males,0 - 4,Fitzroy,272
Females,0 - 4,Fitzroy,273
Males,0 - 4,Fitzroy North,260
Females,0 - 4,Fitzroy North,260
Males,0 - 4,Richmond (Vic.),681
Females,0 - 4,Richmond (Vic.),630
Males,0 - 4,Yarra - North,245
Females,0 - 4,Yarra - North,262
Males,0 - 4,Ashburton (Vic.),293
Females,0 - 4,Ashburton (Vic.),231
Males,0 - 4,Balwyn,303
Females,0 - 4,Balwyn,313
Males,0 - 4,Balwyn North,407
Females,0 - 4,Balwyn North,408
Males,0 - 4,Camberwell,479
Females,0 - 4,Camberwell,503
Males,0 - 4,Glen Iris - East,475
Females,0 - 4,Glen Iris - East,396
Males,0 - 4,Hawthorn,526
Females,0 - 4,Hawthorn,481
Males,0 - 4,Hawthorn East,424
Females,0 - 4,Hawthorn East,383
Males,0 - 4,Kew,563
Females,0 - 4,Kew,514
Males,0 - 4,Kew East,208
Females,0 - 4,Kew East,158
Males,0 - 4,Surrey Hills (West) - Canterbury,334
Females,0 - 4,Surrey Hills (West) - Canterbury,364
Males,0 - 4,Bulleen,284
Females,0 - 4,Bulleen,276
Males,0 - 4,Doncaster,494
Females,0 - 4,Doncaster,439
Males,0 - 4,Templestowe,352
Females,0 - 4,Templestowe,338
Males,0 - 4,Templestowe Lower,354
Females,0 - 4,Templestowe Lower,378
Males,0 - 4,Doncaster East (North),342
Females,0 - 4,Doncaster East (North),311
Males,0 - 4,Doncaster East (South),463
Females,0 - 4,Doncaster East (South),382
Males,0 - 4,Blackburn,617
Females,0 - 4,Blackburn,581
Males,0 - 4,Blackburn South,335
Females,0 - 4,Blackburn South,290
Males,0 - 4,Box Hill,497
Females,0 - 4,Box Hill,452
Males,0 - 4,Box Hill North,514
Females,0 - 4,Box Hill North,525
Males,0 - 4,Burwood,218
Females,0 - 4,Burwood,228
Males,0 - 4,Burwood East,252
Females,0 - 4,Burwood East,240
Males,0 - 4,Surrey Hills (East) - Mont Albert,271
Females,0 - 4,Surrey Hills (East) - Mont Albert,254
Males,0 - 4,Beaumaris,265
Females,0 - 4,Beaumaris,283
Males,0 - 4,Brighton (Vic.),556
Females,0 - 4,Brighton (Vic.),489
Males,0 - 4,Brighton East,462
Females,0 - 4,Brighton East,356
Males,0 - 4,Cheltenham - Highett (West),372
Females,0 - 4,Cheltenham - Highett (West),438
Males,0 - 4,Hampton,508
Females,0 - 4,Hampton,493
Males,0 - 4,Sandringham - Black Rock,380
Females,0 - 4,Sandringham - Black Rock,388
Males,0 - 4,Bentleigh - McKinnon,652
Females,0 - 4,Bentleigh - McKinnon,644
Males,0 - 4,Carnegie,548
Females,0 - 4,Carnegie,553
