Suburb,Median Price
Abbotsford,1220000
Aberfeldie,1540000
Aintree,655000
Albanvale,547500
Albion,746000
Alphington,1800000
Altona,887000
Ardeer,485000
Armadale,1656000
Ashburton,1740000
Ashwood,1270000
Aspendale,1076000
Attwood,727500
Balaclava,1270000
Balwyn,2330000
Bayswater,765000
Beaconsfield,735000
Beaumaris,1710000
Belgrave,676016
Bellfield,870000
Bentleigh,1393750
Berwick,699000
Bittern,650000
Blackburn,1335000
Blairgowrie,982500
Bonbeach,885000
Boronia,750000
Braeside,2574000
Braybrook,747900
Brighton,2297500
Broadmeadows,573750
Brookfield,485000
Brooklyn,737000
Brunswick,1077500
Bulleen,1233000
Bundoora,730000
Burnley,1270000
Burnside,620000
Cairnlea,730000
Camberwell,2075000
Campbellfield,570000
Canterbury,2486500
Carlton,1184010
Carnegie,1350000
Carrum,807000
Caulfield,1710500
Chadstone,1109000
Chelsea,861000
Cheltenham,1052500
Clarinda,807500
Clayton,1050000
Cobblebank,460000
Coburg,872000
Collingwood,1087250
Coolaroo,482500
Craigieburn,556000
Cranbourne,540000
Cremorne,1265500
Dallas,485000
Dandenong,631000
Deepdene,2606500
Delahey,582500
Derrimut,612000
Docklands,1900000
Doncaster,1350000
Donvale,1200000
Doreen,610000
Doveton,540000
Eaglemont,1950000
Edithvale,955000
Elsternwick,1840000
Eltham,952500
Elwood,2060000
Emerald,750000
Epping,610000
Essendon,1465000
Eumemmerring,627500
Fairfield,1308500
Fawkner,720000
Fitzroy,1335500
Flemington,925000
Footscray,898500
Frankston,615075
Gardenvale,1871500
Glenroy,722000
Gowanbrae,711250
Greensborough,817500
Hadfield,750000
Hallam,635500
Hampton,1870000
Harkness,480000
Hastings,515000
Hawthorn,1700500
Heatherton,935000
Heathmont,920000
Heidelberg,1107500
Highett,1300000
Hillside,640500
Hughesdale,1300000
Huntingdale,1045000
Jacana,561000
Kealba,614000
Kew,2129440
Keysborough,800000
Kilsyth,695000
Kingsbury,716000
Kingsville,980000
Knoxfield,820000
Kooyong,1755000
Kurunjang,440000
Lalor,640000
Langwarrin,637375
Laverton,575000
Lilydale,726000
Lynbrook,651000
Lyndhurst,705000
Lysterfield,1042500
Macleod,904500
Maidstone,790000
Malvern,2695000
Maribyrnong,965000
Mccrae,824500
Mckinnon,1675000
Melton,414000
Mentone,1005000
Mernda,576000
Mitcham,1000000
Monbulk,650000
Montmorency,887500
Montrose,751000
Moorabbin,1200000
Moorooduc,1575000
Mooroolbark,728000
Mordialloc,940000
Mornington,830000
Mulgrave,890000
Murrumbeena,1405000
Newport,1060000
Niddrie,1096000
Northcote,1325000
Nunawading,1000000
Oakleigh,1173750
Officer,561500
Olinda,770000
Ormond,1685000
Pakenham,522500
Parkdale,1180000
Parkville,1515000
Pearcedale,678075
Plumpton,630000
Portsea,1825000
Prahran,1466750
Preston,1000250
Research,1100000
Reservoir,775000
Richmond,1230000
Ringwood,878750
Ripponlea,1563750
Rockbank,580000
Rosanna,1112500
Rosebud,610000
Rowville,870000
Rye,717000
Sandhurst,820000
Sandringham,1850000
Scoresby,810000
Seabrook,660000
Seaford,710000
Seaholme,950000
Seddon,1025750
Selby,660000
Skye,611000
Somerton,2877000
Somerville,626000
Sorrento,1377500
Southbank,907500
Spotswood,1057000
Springvale,757500
Strathmore,1353750
Sunbury,540000
Sunshine,778500
Sydenham,633500
Tarneit,570000
Tecoma,705000
Templestowe,1350500
Thomastown,645000
Thornbury,1115000
Toorak,3362500
Tootgarook,617500
Tottenham,485000
Travancore,1475000
Truganina,570000
Tullamarine,661000
Tyabb,580000
Upwey,700250
Vermont,990000
Viewbank,950000
Wantirna,938500
Warrandyte,1205000
Warranwood,930000
Waterways,1010000
Watsonia,820000
Werribee,508000
Westmeadows,602501
Williamstown,1400000
Windsor,1366000
Wollert,593500
Yallambie,790000
