Sex,Industry of Employment,Region,Value
Males,"Agriculture, Forestry and Fishing",Brunswick,26
Females,"Agriculture, Forestry and Fishing",Brunswick,13
Males,Mining,Brunswick,21
Females,Mining,Brunswick,11
Males,Manufacturing,Brunswick,356
Females,Manufacturing,Brunswick,185
Males,"Electricity, Gas, Water and Waste Services",Brunswick,86
Females,"Electricity, Gas, Water and Waste Services",Brunswick,61
Males,Construction,Brunswick,539
Females,Construction,Brunswick,87
Males,Wholesale Trade,Brunswick,189
Females,Wholesale Trade,Brunswick,129
Males,Retail Trade,Brunswick,529
Females,Retail Trade,Brunswick,679
Males,Accommodation and Food Services,Brunswick,717
Females,Accommodation and Food Services,Brunswick,676
Males,"Transport, Postal and Warehousing",Brunswick,323
Females,"Transport, Postal and Warehousing",Brunswick,104
Males,Information Media and Telecommunications,Brunswick,329
Females,Information Media and Telecommunications,Brunswick,258
Males,Financial and Insurance Services,Brunswick,353
Females,Financial and Insurance Services,Brunswick,307
Males,"Rental, Hiring and Real Estate Services",Brunswick,94
Females,"Rental, Hiring and Real Estate Services",Brunswick,76
Males,"Professional, Scientific and Technical Services",Brunswick,1232
Females,"Professional, Scientific and Technical Services",Brunswick,935
Males,Administrative and Support Services,Brunswick,225
Females,Administrative and Support Services,Brunswick,249
Males,Public Administration and Safety,Brunswick,458
Females,Public Administration and Safety,Brunswick,532
Males,Education and Training,Brunswick,743
Females,Education and Training,Brunswick,1257
Males,Health Care and Social Assistance,Brunswick,445
Females,Health Care and Social Assistance,Brunswick,1279
Males,Arts and Recreation Services,Brunswick,354
Females,Arts and Recreation Services,Brunswick,298
Males,Other Services,Brunswick,189
Females,Other Services,Brunswick,273
Males,Inadequately described and not stated,Brunswick,296
Females,Inadequately described and not stated,Brunswick,208
Males,"Agriculture, Forestry and Fishing",Brunswick East,3
Females,"Agriculture, Forestry and Fishing",Brunswick East,7
Males,Mining,Brunswick East,16
Females,Mining,Brunswick East,0
Males,Manufacturing,Brunswick East,156
Females,Manufacturing,Brunswick East,67
Males,"Electricity, Gas, Water and Waste Services",Brunswick East,37
Females,"Electricity, Gas, Water and Waste Services",Brunswick East,24
Males,Construction,Brunswick East,258
Females,Construction,Brunswick East,33
Males,Wholesale Trade,Brunswick East,81
Females,Wholesale Trade,Brunswick East,67
Males,Retail Trade,Brunswick East,228
Females,Retail Trade,Brunswick East,305
Males,Accommodation and Food Services,Brunswick East,311
Females,Accommodation and Food Services,Brunswick East,302
Males,"Transport, Postal and Warehousing",Brunswick East,124
Females,"Transport, Postal and Warehousing",Brunswick East,47
Males,Information Media and Telecommunications,Brunswick East,149
Females,Information Media and Telecommunications,Brunswick East,110
Males,Financial and Insurance Services,Brunswick East,156
Females,Financial and Insurance Services,Brunswick East,139
Males,"Rental, Hiring and Real Estate Services",Brunswick East,51
Females,"Rental, Hiring and Real Estate Services",Brunswick East,40
Males,"Professional, Scientific and Technical Services",Brunswick East,517
Females,"Professional, Scientific and Technical Services",Brunswick East,462
Males,Administrative and Support Services,Brunswick East,96
Females,Administrative and Support Services,Brunswick East,129
Males,Public Administration and Safety,Brunswick East,193
Females,Public Administration and Safety,Brunswick East,252
