Suburb,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
APY Lands,2661,2599,2543,2469,2389,2310,2352,2416,2476,2560,2660,2651,2622,2605,2568,2498,2485,2520,2535
Abbotsford,4150,4339,4444,4452,4498,4537,4638,4727,4833,5029,5213,5544,6539,7411,8078,8770,9453,9855,10088
Aberfoyle Park,12307,12377,12433,12385,12415,12454,12414,12356,12251,12207,12146,12126,12063,12035,11960,11863,11835,11784,11723
Airport West,6997,6970,6952,6904,6870,6878,6920,6983,7067,7175,7234,7301,7390,7521,7694,7903,8032,8280,8559
Albany,13971,14019,14047,14088,14173,14218,14230,14254,14274,14298,14324,14503,14630,14635,14663,14622,14490,14402,14286
Albany Region,2805,2816,2837,2854,2891,2929,2941,2964,3010,3039,3082,3155,3258,3364,3439,3501,3561,3620,3685
Albert Park,12368,12595,12800,12997,13269,13550,13731,13928,14245,14595,15009,15142,15282,15592,16053,16490,16738,17208,17806
Aldinga,8373,8680,8825,8887,9312,9849,10740,11593,12566,13532,14384,14761,15011,15243,15455,15627,15807,16017,16144
Alexander Heights - Koondoola,12329,12196,12127,12130,12088,12023,12138,12198,12224,12251,12318,12375,12407,12401,12387,12351,12248,12142,12091
Alexandra,6263,6248,6250,6251,6267,6271,6299,6279,6250,6219,6219,6270,6298,6349,6404,6474,6534,6619,6650
Alfredton,5756,6092,6293,6480,6648,6761,7034,7272,7614,7894,8452,9060,9714,10338,11039,11852,12522,13291,14069
Alkimos - Eglinton,37,37,33,34,25,25,23,16,16,27,61,626,1655,3162,5371,8248,10343,11869,13346
Alphington - Fairfield,7885,7924,7951,7976,8032,8105,8189,8270,8377,8506,8561,8706,8827,8944,9134,9434,9650,9774,10008
Alps - West,26,26,26,26,26,25,26,27,27,28,29,28,27,26,25,24,24,24,24
Altona,12221,12120,12045,11919,11864,11857,11915,12041,12152,12213,12260,12361,12544,12757,12979,13206,13443,13713,14002
Altona Meadows,19168,19342,19476,19283,19379,19411,19707,19746,19895,19780,19565,19573,19617,19690,19818,20106,20313,20409,20454
