Suburb,Value
Abbotsford,10088
Aberfoyle Park,11723
Airport West,8559
Albany,14286
Albany Region,3685
Albert Park,17806
Aldinga,16144
Alexander Heights Koondoola,12091
Alexandra,6650
Alfredton,14069
Alkimos Eglinton,13346
Alphington,10008
Alps West,24
Altona,14002
Altona Meadows,20454
Altona North,15425
Applecross Ardross,11484
Ararat,8448
Ararat Region,3245
Ardeer Albion,8530
Armadale,10501
Armadale Wungong Brookdale,21478
Ascot Vale,16508
Ashburton,8298
Ashwood Chadstone,20606
Aspendale Gardens Waterways,9496
Augusta,6055
Austins Ferry Granton,4167
Australind Leschenault,18805
Avoca,3364
Bacchus Marsh,22964
Bacchus Marsh Region,6212
Bairnsdale,15565
Balcatta Hamersley,15723
Baldivis,40512
Balga Mirrabooka,20553
Ballajura,18825
Ballarat,12225
Ballarat North,24457
Ballarat South,25594
Balwyn,17144
Balwyn North,21823
Banjup,19903
Bannockburn,7347
Barmera,6637
Barossa Angaston,6421
Bassendean Eden Hill Ashfield,15823
Bateman,3699
Bayonet Head Lower King,5150
Bayswater,13071
Bayswater Embleton Bedford,24157
Bayswater North,12517
Beaconsfield Officer,19859
Beaufort,4548
Beaumaris,14772
Beckenham Kenwick Langford,19656
Beechboro,19808
Beechworth,4854
Beeliar Wattleup,9449
Belair,4684
Belgrave Selby,10414
Bellerive Rosny,6090
Bellevue Heights,7649
Belmont,14765
Belmont Ascot Redcliffe,14738
Benalla,10450
Benalla Region,3665
Bendigo,14779
Bendigo Region North,4580
Bendigo Region South,7891
Bentleigh McKinnon,25048
Bentleigh East North,16532
Bentleigh East South,14422
Bentley Wilson St James,20706
Berri,4235
Berriedale Chigwell,5626
Bertram Wellard West,17710
Berwick North,24176
Berwick South,29079
Beverley,8497
Bibra Industrial,7
Bicton Palmyra,14511
Blackburn,23394
Blackburn South,11498
Blackwood,12717
Booragoon,15089
Boronia,23734
Boulder,7047
Box Hill,23320
Box Hill North,19219
Braeside,60
Braybrook,20514
Bridgetown Boyup Brook,6503
Bridgewater Gagebrook,7408
Bright Mount Beauty,8526
Brighton,25125
Brighton Pontville,6006
Brighton East,16955
Broadmeadows,14574
Brookton,3656
Broome,14371
Brunswick,29993
Brunswick East,13765
Brunswick West,15543
Bruthen Omeo,8171
Bull Creek,7951
Bulleen,11832
Bullsbrook,5662
Buloke,6127
Bundoora East,10553
Bundoora North,8610
Bundoora West,6708
Buninyong,7712
Bunyip Garfield,9346
Burnside,5396
Burnside Heights,6785
Burwood,14652
Burwood East,11086
Busselton,28029
Busselton Region,11589
Butler Merriwa Ridgewood,24474
Byford,20816
Cairnlea,10643
California Gully Eaglehawk,12978
Calista,7598
Camberwell,23164
Cambridge,8126
Camillo Champion Lakes,5563
Campbellfield Coolaroo,17205
Camperdown,3506
Canning Vale East,24353
Canning Vale West,10191
Cannington Queens Park,19120
Capel,5395
Carabooda Pinjar,701
Carlton,24692
Carlton North Princes Hill,9207
Carnarvon,4868
Carnegie,20562
Caroline Springs,21849
Carramar,19048
Carrum Patterson Lakes,12660
Carrum Downs,22264
Castlemaine,11196
Castlemaine Region,8797
Casuarina Wandi,8497
Caulfield North,23523
Caulfield South,18926
Ceduna,2586
Chelsea Bonbeach,15600
Chelsea Heights,5621
Cheltenham Highett East,25050
Cheltenham Highett West,12353
Chidlow,4761
Chiltern Indigo Valley,3163
Chirnside Park,11383
Chittering,5898
Christie Downs,9670
Christies Beach,10583
Churchill,11628
City Beach,6889
Clare,4256
Clarendon,2764
Clarinda Oakleigh South,12340
Clarkson,13748
Clayton,27555
Clayton South,14288
Clifton Springs,15399
Cobram,6395
Coburg,29202
Coburg North,8866
Colac,12574
Colac Region,5364
College Grove Carey Park,6801
Collie,8672
Collingwood,10984
Colonel Light Gardens,15905
Como,14615
Coober Pedy,1834
Coogee,9523
Coolbellup,8361
Cooloongup,8659
Corangamite North,5340
Corangamite South,7103
Corio Norlane,27571
Coromandel Valley,4468
Cottesloe,7987
Craigie Beldon,10348
Craigieburn Central,8840
Craigieburn North,13337
Craigieburn South,20617
Craigieburn West,20202
Cranbourne,21309
Cranbourne East,49199
Cranbourne North,24904
Cranbourne South,11972
Cranbourne West,19755
Creswick Clunes,8088
Croydon East,16543
Croydon West,14666
Croydon Hills Warranwood,18847
Croydon South,4950
Cunderdin,4014
Currambine Kinross,14068
Dalyellup,9667
Dandenong,34295
Dandenong North,23960
Dardanup,3192
Davenport,12
Dawesville Bouvard,8226
Daylesford,9326
Deer Park Derrimut,28920
Delacombe,8494
Delahey,8816
Denmark,6215
Derby West Kimberley,8214
Derwent Park Lutana,4299
Dianella,24939
Dingley Village,10753
Docklands,15701
Dodges Ferry Lewisham,8059
Doncaster,24465
Doncaster East North,15749
Doncaster East South,15798
Donnybrook Balingup,6095
Donvale Park Orchards,16895
Doreen,26712
Doveton,12274
Dowerin,3859
Dromana,12566
Drouin,18453
Duncraig,15501
East Bendigo Kennington,13828
East Bunbury Glen Iris,6952
East Fremantle,7837
East Melbourne,5918
East Pilbara,6625
East Victoria Park Carlisle,17471
Eaton Pelican Point,12110
Echuca,14978
Edithvale Aspendale,14025
Edwardstown,14249
Ellenbrook,43594
Elsternwick,12671
Eltham,24282
Elwood,16754
Emerald Cockatoo,18905
Endeavour Hills North,12500
Endeavour Hills South,14044
Epping East,14051
Epping South,8767
Epping West,13105
Esperance,12130
Esperance Region,3683
Essendon Aberfeldie,30927
Euroa,6506
Exmouth,4440
Eyre Peninsula,6762
Falcon Wannanup,9358
Fawkner,15280
Ferntree Gully North,14642
Ferntree Gully South Upper Ferntree Gully,15478
Fitzroy,11903
Fitzroy North,13929
Flagstaff Hill,10822
Flemington,11345
Flemington Racecourse,91
Flinders,5646
Flinders Park,15428
Flora Hill Spring Gully,9692
Floreat,8842
Footscray,19148
Forest Hill,11476
Forrestdale Harrisdale Piara Waters,26344
Forrestfield Wattle Grove,19426
Foster,9079
Frankston,24104
Frankston North,19940
Frankston South,19305
Fremantle,16309
Fremantle South,15080
French Island,114
Fulham,2779
Gannawarra,6596
Geelong,13587
Geelong West Hamlyn Heights,20870
Geilston Bay Risdon,3300
Gelorup Stratham,3104
Geraldton,10778
Geraldton East,8071
Geraldton North,8143
Geraldton South,10263
Gidgegannup,2790
Gilbert Valley,5046
Gingin Dandaragan,8539
Girrawheen,8569
Gisborne,14211
Gladstone Park Westmeadows,18732
Glen Forrest Darlington,7264
Glen Iris East,17713
Glen Waverley East,22472
Glen Waverley West,20964
Glenelg,8715
Glenorchy,11641
Glenroy,24986
Gnowangerup,2879
Golden Grove,10495
Golden Plains North,4862
Golden Plains South,7433
Goolwa Port Elliot,11729
Gordon,5999
Gosnells,20503
Gowanbrae,3129
Goyder,4194
Grant,6130
Greenfields,9866
Greensborough,21667
Greenvale Bulla,20176
Greenwith,9171
Greenwood Warwick,13783
Grovedale,29379
Hackham Onkaparinga Hills,6229
Hackham West Huntfield Heights,7676
Hadfield,6165
Hallam,11768
Hallett Cove,12761
Halls Creek,3496
Halls Head Erskine,19677
Hamilton,10125
Hamilton Hill,11088
Hampton,19344
Hampton Park Lynbrook,27656
Happy Valley,13893
Harvey,9056
Hastings Somers,23654
Hawthorn,26161
Hawthorn East,17244
Hazelmere Guildford,4528
Healesville Yarra Glen,14638
Heathcote,4690
Heathridge Connolly,10686
Heidelberg Rosanna,16477
Heidelberg West,15764
Helena Valley Koongamia,5727
Henderson,24
Henley Beach,15834
High Wycombe,12394
Highbury Dernancourt,10853
Highton,23798
Hillarys,11193
Hillside,25220
Hindmarsh Brompton,18853
Hobart,8721
Hope Valley Modbury,16935
Hope Valley Postans,37
Hoppers Crossing North,20279
Hoppers Crossing South,20664
Horsham,16589
Horsham Region,3394
Howrah Tranmere,11145
Hughesdale,8418
Huntingdale Southern River,21499
Hurstbridge,3624
Iluka Burns Beach,9586
Ingle Farm,15097
Innaloo Doubleview,17934
Irwin,3567
Irymple,7193
Ivanhoe,12927
Ivanhoe East Eaglemont,8295
Jamestown,4647
Jandakot,2644
Joondalup Edgewater,13815
Kadina,5598
Kalamunda Maida Vale Gooseberry Hill,15203
Kalgoorlie,13347
Kalgoorlie North,8926
Kambalda Coolgardie Norseman,4261
Kangaroo Flat Golden Square,20563
Kangaroo Island,4979
Karalee Barellan Point,6144
Karana Downs,6361
Karoonda Lameroo,3084
Karratha,17102
Karrinyup Gwelup Carine,21776
Katanning,4472
Keilor,9113
Keilor Downs,13834
Keilor East,28673
Kelmscott,10619
Kensington,12173
Kerang,3868
Kew,27190
Kew East,6977
Keysborough,30889
Kilmore Broadford,15515
Kilsyth,9833
Kimba Cleve Franklin Harbour,4308
Kinglake,4156
Kings Park,14691
Kingsbury,13254
Kingsley,13208
Kingston Huntingfield,12035
Kingston Robe,3821
Kingston Beach Blackmans Bay,11077
Knoxfield Scoresby,17194
Kojonup,4096
Koo Wee Rup,8566
Korumburra,9586
Kulin,4260
Kununurra,7287
Kwinana Industrial,25
Kyabram,11065
Kyneton,10226
Lakes Entrance,10397
Lalor,25073
Langwarrin,25293
Lara,20579
Largs Bay Semaphore,14927
Laverton,11577
Le Hunte Elliston,2286
Leeming,11011
Leichhardt One Mile,8675
Leinster Leonora,4993
Lenah Valley Mount Stuart,8833
Leongatha,11470
Leopold,13836
Lesmurdie Bickley Carmel,11900
Light,9453
Lilydale Coldstream,19860
Lindisfarne Rose Bay,7505
Little Grove Elleker,3871
Lockington Gunbower,3856
Lockleys,13237
Lockridge Kiara,12209
Loddon,7035
