Weekly Income,Region,Value
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,731
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,752
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,666
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,612
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,1300
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,786
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,574
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,571
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,239
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,237
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,220
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,160
"$8,000 or more ($416,000 or more)",Brunswick,15
Partial income stated,Brunswick,891
All incomes not stated,Brunswick,187
Negative income,Brunswick,27
Nil income,Brunswick,160
"$1-$149 ($1-$7,799)",Brunswick,86
"$150-$299 ($7,800-$15,599)",Brunswick,269
"$300-$399 ($15,600-$20,799)",Brunswick,287
"$400-$499 ($20,800-$25,999)",Brunswick,522
"$500-$649 ($26,000-$33,799)",Brunswick,347
"$650-$799 ($33,800-$41,599)",Brunswick,488
"$800-$999 ($41,600-$51,999)",Brunswick,520
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,284
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,318
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,252
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,278
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,721
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,589
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,444
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,333
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,179
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,195
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,178
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,140
"$8,000 or more ($416,000 or more)",Brunswick,3
Partial income stated,Brunswick,432
All incomes not stated,Brunswick,46
Negative income,Brunswick,6
Nil income,Brunswick,51
"$1-$149 ($1-$7,799)",Brunswick,20
"$150-$299 ($7,800-$15,599)",Brunswick,42
"$300-$399 ($15,600-$20,799)",Brunswick,19
"$400-$499 ($20,800-$25,999)",Brunswick,114
"$500-$649 ($26,000-$33,799)",Brunswick,103
"$650-$799 ($33,800-$41,599)",Brunswick,258
"$800-$999 ($41,600-$51,999)",Brunswick,192
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,13
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,22
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,16
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,26
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,31
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,45
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,28
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,22
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,20
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,12
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,17
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,9
"$8,000 or more ($416,000 or more)",Brunswick,0
Partial income stated,Brunswick,29
All incomes not stated,Brunswick,3
Negative income,Brunswick,0
Nil income,Brunswick,0
"$1-$149 ($1-$7,799)",Brunswick,0
"$150-$299 ($7,800-$15,599)",Brunswick,0
"$300-$399 ($15,600-$20,799)",Brunswick,0
"$400-$499 ($20,800-$25,999)",Brunswick,0
"$500-$649 ($26,000-$33,799)",Brunswick,3
"$650-$799 ($33,800-$41,599)",Brunswick,9
"$800-$999 ($41,600-$51,999)",Brunswick,3
"$1,000-$1,249 ($52,000-$64,999)",Brunswick,8
"$1,250-$1,499 ($65,000-$77,999)",Brunswick,3
"$1,500-$1,749 ($78,000-$90,999)",Brunswick,6
"$1,750-$1,999 ($91,000-$103,999)",Brunswick,5
"$2,000-$2,499 ($104,000-$129,999)",Brunswick,10
"$2,500-$2,999 ($130,000-$155,999)",Brunswick,10
"$3,000-$3,499 ($156,000-$181,999)",Brunswick,10
"$3,500-$3,999 ($182,000-$207,999)",Brunswick,0
"$4,000-$4,499 ($208,000-$233,999)",Brunswick,0
"$4,500-$4,999 ($234,000-$259,999)",Brunswick,4
"$5,000-$5,999 ($260,000-$311,999)",Brunswick,3
"$6,000-$7,999 ($312,000-$415,999)",Brunswick,3
"$8,000 or more ($416,000 or more)",Brunswick,0
Partial income stated,Brunswick,11
All incomes not stated,Brunswick,0
Negative income,Brunswick,0
Nil income,Brunswick,3
"$1-$149 ($1-$7,799)",Brunswick,0
