Postcode,active,cases,data_date,Suburb
3000,0,122,30/01/2021,Melbourne
3003,0,43,30/01/2021,West melbourne
3004,0,69,30/01/2021,Melbourne
3006,0,59,30/01/2021,Southbank
3011,0,168,30/01/2021,Footscray
3012,0,155,30/01/2021,West footscray
3013,0,96,30/01/2021,Yarraville
3015,0,67,30/01/2021,Newport
3016,0,45,30/01/2021,Williamstown
3018,0,35,30/01/2021,Altona
3019,0,135,30/01/2021,Braybrook
3020,0,474,30/01/2021,Sunshine
3021,0,636,30/01/2021,St albans
3022,0,87,30/01/2021,Ardeer
3023,0,518,30/01/2021,Cairnlea
3024,0,243,30/01/2021,Wyndham vale
3025,0,183,30/01/2021,Altona north
3026,0,101,30/01/2021,Derrimut
3028,0,153,30/01/2021,Altona meadows
3029,0,1262,30/01/2021,Hoppers crossing
3030,0,703,30/01/2021,Werribee
3031,0,347,30/01/2021,Flemington
3032,0,197,30/01/2021,Ascot vale
3033,0,59,30/01/2021,Keilor east
3034,0,98,30/01/2021,Avondale heights
3036,0,21,30/01/2021,Keilor
3037,0,449,30/01/2021,Sydenham
3038,0,142,30/01/2021,Taylors lakes
3039,0,82,30/01/2021,Moonee ponds
3040,0,120,30/01/2021,Essendon
3041,0,51,30/01/2021,Essendon north
3042,0,66,30/01/2021,Niddrie
3043,0,69,30/01/2021,Tullamarine
3044,0,167,30/01/2021,Pascoe vale
3046,0,300,30/01/2021,Oak park
3047,0,220,30/01/2021,Dallas
3048,0,107,30/01/2021,Meadow heights
3049,0,47,30/01/2021,Westmeadows
3051,0,225,30/01/2021,North melbourne
3052,0,93,30/01/2021,Parkville
3053,0,125,30/01/2021,Carlton
3054,0,31,30/01/2021,Carlton north
3055,0,52,30/01/2021,Brunswick west
3056,0,98,30/01/2021,Brunswick
3057,0,38,30/01/2021,Brunswick east
3058,0,186,30/01/2021,Coburg
3059,0,99,30/01/2021,Greenvale
3060,0,192,30/01/2021,Fawkner
3061,0,37,30/01/2021,Campbellfield
3062,0,0,30/01/2021,Somerton
3064,0,922,30/01/2021,Mickleham
3065,0,93,30/01/2021,Fitzroy
3066,0,104,30/01/2021,Collingwood
3067,0,28,30/01/2021,Abbotsford
3068,0,72,30/01/2021,Clifton hill
3070,0,132,30/01/2021,Northcote
3071,0,53,30/01/2021,Thornbury
3072,0,132,30/01/2021,Preston
3073,0,294,30/01/2021,Reservoir
3074,0,159,30/01/2021,Thomastown
3075,0,125,30/01/2021,Lalor
3076,0,301,30/01/2021,Epping
3078,0,23,30/01/2021,Fairfield
3079,0,47,30/01/2021,Ivanhoe
3081,0,192,30/01/2021,Bellfield
3082,0,130,30/01/2021,Mill park
3083,0,126,30/01/2021,Bundoora
3084,0,61,30/01/2021,Heidelberg
3085,0,28,30/01/2021,Yallambie
3087,0,12,30/01/2021,Watsonia
3088,0,71,30/01/2021,Greensborough
3089,0,15,30/01/2021,Diamond creek
3091,0,0,30/01/2021,Yarrambat
3093,0,12,30/01/2021,Lower plenty
3094,0,10,30/01/2021,Montmorency
3095,0,30,30/01/2021,Eltham
3097,0,2,30/01/2021,Kangaroo ground
3099,0,9,30/01/2021,Arthurs creek
3101,0,48,30/01/2021,Kew
3102,0,19,30/01/2021,Kew east
3103,0,11,30/01/2021,Balwyn
3104,0,31,30/01/2021,Balwyn north
3105,0,13,30/01/2021,Bulleen
3106,0,27,30/01/2021,Templestowe
3107,0,10,30/01/2021,Templestowe lower
3108,0,34,30/01/2021,"Westfield, doncaster"
3109,0,44,30/01/2021,Doncaster east
3111,0,17,30/01/2021,Donvale
3113,0,8,30/01/2021,Warrandyte
3114,0,6,30/01/2021,Park orchards
3115,0,6,30/01/2021,Wonga park
3116,0,25,30/01/2021,Chirnside park
3121,0,128,30/01/2021,Richmond
3122,0,56,30/01/2021,Hawthorn
3123,0,28,30/01/2021,Hawthorn east
3124,0,27,30/01/2021,Camberwell
3125,0,41,30/01/2021,Burwood
3126,0,9,30/01/2021,Canterbury
3127,0,20,30/01/2021,Surrey hills
3128,0,57,30/01/2021,Box hill south
3129,0,17,30/01/2021,Box hill north
3130,0,25,30/01/2021,Blackburn
3131,0,29,30/01/2021,Brentford square
3132,0,19,30/01/2021,Mitcham
3133,0,25,30/01/2021,Vermont
3134,0,30,30/01/2021,Warranwood
3135,0,16,30/01/2021,Ringwood east
3136,0,55,30/01/2021,Croydon
3137,0,83,30/01/2021,Kilsyth
3138,0,37,30/01/2021,Mooroolbark
3139,0,10,30/01/2021,Wandin north
3140,0,33,30/01/2021,Lilydale
3141,0,70,30/01/2021,South yarra
3142,0,28,30/01/2021,Toorak
3143,0,29,30/01/2021,Armadale
3144,0,19,30/01/2021,Malvern
3145,0,43,30/01/2021,Malvern east
3146,0,27,30/01/2021,Glen iris
3147,0,36,30/01/2021,Ashburton
3148,0,31,30/01/2021,Chadstone
3149,0,65,30/01/2021,Mount waverley
3150,0,85,30/01/2021,Glen waverley
3151,0,10,30/01/2021,Burwood east
3152,0,36,30/01/2021,Wantirna
3153,0,15,30/01/2021,Bayswater
3154,0,6,30/01/2021,The basin
3155,0,25,30/01/2021,Boronia
3156,0,27,30/01/2021,Lysterfield
3158,0,4,30/01/2021,Upwey
3159,0,3,30/01/2021,Selby
3160,0,8,30/01/2021,Tecoma
3161,0,30,30/01/2021,Caulfield north
3162,0,12,30/01/2021,Caulfield south
3163,0,49,30/01/2021,Carnegie
3165,0,42,30/01/2021,Bentleigh east
3166,0,27,30/01/2021,Oakleigh
