date_sold,price,suburb,city_name,state,lat,lon,bedrooms,property_type,loc_pid,lga_pid,LGA_Name
2/1/2020,485000,Melbourne,Melbourne,VIC,-37.81713736,144.960121,1,unit,VIC1634,VIC107,Melbourne
2/1/2020,485000,Melbourne,Melbourne,VIC,-37.81713736,144.960121,1,unit,VIC1634,VIC107,Port
2/1/2020,446500,Melbourne,Melbourne,VIC,-37.8094278,144.9618335,1,unit,VIC1634,VIC107,Melbourne
2/1/2020,446500,Melbourne,Melbourne,VIC,-37.8094278,144.9618335,1,unit,VIC1634,VIC107,Port
2/1/2020,420000,Clayton,Melbourne,VIC,-37.913156,145.124122,2,unit,VIC567,VIC104,Monash
2/1/2020,750000,Mitcham,Melbourne,VIC,-37.8072694,145.1999914,3,unit,VIC1700,VIC136,Whitehorse
2/1/2020,400000,Reservoir,Melbourne,VIC,-37.69553753,145.0121232,2,unit,VIC2158,VIC170,Darebin
2/1/2020,890000,Mornington,Melbourne,VIC,-38.232934,145.038054,3,house,VIC1757,VIC125,Mornington
2/1/2020,360000,Springvale,Melbourne,VIC,-37.93460859,145.167193,2,unit,VIC2333,VIC91,Greater
2/1/2020,1000000,Oakleigh South,Melbourne,VIC,-37.927459,145.082769,4,house,VIC1998,VIC98,Monash
2/1/2020,675000,Doreen,Melbourne,VIC,-37.60423485,145.1110119,4,house,VIC774,VIC114,Nillumbik
2/1/2020,675000,Doreen,Melbourne,VIC,-37.60423485,145.1110119,4,house,VIC774,VIC114,Whittlesea
2/1/2020,575000,Craigieburn,Melbourne,VIC,-37.607788,144.930977,4,house,VIC660,VIC96,Hume
2/1/2020,675000,Keysborough,Melbourne,VIC,-38.0023813,145.1645333,3,townhouse,VIC1334,VIC91,Greater
2/1/2020,1038000,Vermont,Melbourne,VIC,-37.835,145.211773,4,house,VIC2630,VIC136,Knox
2/1/2020,525000,Hastings,Melbourne,VIC,-38.301309,145.176365,3,house,VIC1136,VIC125,Mornington
2/1/2020,752333,Dandenong North,Melbourne,VIC,-37.945704,145.21658,3,house,VIC706,VIC91,Greater
2/1/2020,320000,Melton,Melbourne,VIC,-37.69088862,144.5882084,2,house,VIC1636,VIC176,Melton
2/1/2020,610000,Dandenong North,Melbourne,VIC,-37.959813,145.21279,3,house,VIC706,VIC91,Greater
2/1/2020,570000,Point Cook,Melbourne,VIC,-37.89402198,144.7097965,4,house,VIC2082,VIC95,Wyndham
2/1/2020,615000,Noble Park,Melbourne,VIC,-37.977092,145.189441,3,house,VIC1948,VIC91,Greater
2/1/2020,605000,Sunbury,Melbourne,VIC,-37.58028349,144.7179171,4,house,VIC2394,VIC96,Hume
2/1/2020,666500,Noble Park,Melbourne,VIC,-37.974315,145.192856,3,house,VIC1948,VIC91,Greater
2/1/2020,760000,Croydon,Melbourne,VIC,-37.79233091,145.2767283,4,house,VIC680,VIC139,Maroondah
2/1/2020,940000,Clayton,Melbourne,VIC,-37.92596918,145.1175344,4,townhouse,VIC567,VIC104,Monash
2/1/2020,1380000,Arthurs Creek,Melbourne,VIC,-37.56106141,145.1991611,4,house,VIC70,VIC106,Nillumbik
2/1/2020,514000,St Kilda,Melbourne,VIC,-37.85921163,144.9777742,1,unit,VIC2346,VIC107,Port
2/1/2020,1320000,Yarrambat,Melbourne,VIC,-37.622742,145.14397,4,house,VIC2917,VIC106,Nillumbik
2/1/2020,495000,Werribee,Melbourne,VIC,-37.906462,144.684478,3,house,VIC2753,VIC95,Wyndham
